id,timestamp,type,severity,description,explanation,hash,encrypted_data,log_source,status,event_id
154,2026-05-12T10:01:44.287014,New File Detected,MEDIUM,New monitored file detected: C:\Users\rajpr\.p2\pool\plugins\org.eclipse.justj.openjdk.hotspot.jre.full.win32.x86_64_21.0.6.v20250130-0529\jre\bin\api-ms-win-crt-multibyte-l1-1-0.dll,,,,Forensics,New,0
153,2026-05-12T10:01:44.278770,New File Detected,MEDIUM,New monitored file detected: C:\Users\rajpr\.p2\pool\plugins\org.eclipse.justj.openjdk.hotspot.jre.full.win32.x86_64_21.0.6.v20250130-0529\jre\bin\api-ms-win-crt-math-l1-1-0.dll,,,,Forensics,New,0
152,2026-05-12T10:01:44.270435,New File Detected,MEDIUM,New monitored file detected: C:\Users\rajpr\.p2\pool\plugins\org.eclipse.justj.openjdk.hotspot.jre.full.win32.x86_64_21.0.6.v20250130-0529\jre\bin\api-ms-win-crt-locale-l1-1-0.dll,,,,Forensics,New,0
151,2026-05-12T10:01:44.262531,New File Detected,MEDIUM,New monitored file detected: C:\Users\rajpr\.p2\pool\plugins\org.eclipse.justj.openjdk.hotspot.jre.full.win32.x86_64_21.0.6.v20250130-0529\jre\bin\api-ms-win-crt-heap-l1-1-0.dll,,,,Forensics,New,0
150,2026-05-12T10:01:44.254123,New File Detected,MEDIUM,New monitored file detected: C:\Users\rajpr\.p2\pool\plugins\org.eclipse.justj.openjdk.hotspot.jre.full.win32.x86_64_21.0.6.v20250130-0529\jre\bin\api-ms-win-crt-filesystem-l1-1-0.dll,,,,Forensics,New,0
149,2026-05-12T10:01:44.246244,New File Detected,MEDIUM,New monitored file detected: C:\Users\rajpr\.p2\pool\plugins\org.eclipse.justj.openjdk.hotspot.jre.full.win32.x86_64_21.0.6.v20250130-0529\jre\bin\api-ms-win-crt-environment-l1-1-0.dll,,,,Forensics,New,0
148,2026-05-12T10:01:44.237994,New File Detected,MEDIUM,New monitored file detected: C:\Users\rajpr\.p2\pool\plugins\org.eclipse.justj.openjdk.hotspot.jre.full.win32.x86_64_21.0.6.v20250130-0529\jre\bin\api-ms-win-crt-convert-l1-1-0.dll,,,,Forensics,New,0
147,2026-05-12T10:01:44.229730,New File Detected,MEDIUM,New monitored file detected: C:\Users\rajpr\.p2\pool\plugins\org.eclipse.justj.openjdk.hotspot.jre.full.win32.x86_64_21.0.6.v20250130-0529\jre\bin\api-ms-win-crt-conio-l1-1-0.dll,,,,Forensics,New,0
146,2026-05-12T10:01:44.221050,New File Detected,MEDIUM,New monitored file detected: C:\Users\rajpr\.p2\pool\plugins\org.eclipse.justj.openjdk.hotspot.jre.full.win32.x86_64_21.0.6.v20250130-0529\jre\bin\api-ms-win-core-util-l1-1-0.dll,,,,Forensics,New,0
145,2026-05-12T10:01:44.212184,New File Detected,MEDIUM,New monitored file detected: C:\Users\rajpr\.p2\pool\plugins\org.eclipse.justj.openjdk.hotspot.jre.full.win32.x86_64_21.0.6.v20250130-0529\jre\bin\api-ms-win-core-timezone-l1-1-0.dll,,,,Forensics,New,0
144,2026-05-12T10:01:44.202638,New File Detected,MEDIUM,New monitored file detected: C:\Users\rajpr\.p2\pool\plugins\org.eclipse.justj.openjdk.hotspot.jre.full.win32.x86_64_21.0.6.v20250130-0529\jre\bin\api-ms-win-core-sysinfo-l1-2-0.dll,,,,Forensics,New,0
